"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"P02751",5.71190413653133,24.9654073529803,29.9127057693871,2.8861221374102e-08,4.92770256906986e-06,10.005121961393
"P26006",3.22575578432546,26.2735813142739,28.2698568658365,4.17153698220157e-08,4.92770256906986e-06,9.66871470910229
"P15941",-6.42874035013219,27.4091344615848,-28.1994782004877,4.23987224125309e-08,4.92770256906986e-06,9.65369944904529
"P17301",3.94950109445937,25.5639168424262,26.8594214720103,5.82281596045926e-08,4.92770256906986e-06,9.35766808617057
"P16104;Q8IUE6;Q96QV6",3.90977239816424,26.3629319720102,25.6484093518345,7.86309866365285e-08,4.92770256906986e-06,9.07254764413118
"P05362",2.64619644576887,26.6066458388066,24.3799943534745,1.09368992673239e-07,4.92770256906986e-06,8.75430047701328
"P21589",8.27713307469775,24.5536731284784,24.3351659371509,1.10685724175655e-07,4.92770256906986e-06,8.74266261687535
"P05556",3.05007125354915,27.7628191980702,24.3018549237048,1.11675978902433e-07,4.92770256906986e-06,8.73399693296049
"P09758",-2.47708855928567,25.9031079582807,-23.3054138860186,1.46601385267513e-07,5.25846049595386e-06,8.4675464918745
"P31947",-3.04804341087965,26.4283380551884,-23.248110711601,1.48964886570931e-07,5.25846049595386e-06,8.4517858383915
"O14745",-2.50019562632343,24.965694856828,-22.1598465889715,2.03363952160373e-07,6.06267033952038e-06,8.14290934560458
"P49006",3.90629476114521,25.361174331045,22.0789180399173,2.08250030098027e-07,6.06267033952038e-06,8.11918984983283
"P08670;P41219;P17661;P14136;Q16352;P07196;P07197;P12036",5.82226531423875,23.6540038285351,21.8431761962929,2.23271145648059e-07,6.06267033952038e-06,8.04948118674907
"P04792",-4.92515368353812,24.3168082635341,-21.521540766152,2.45820961009868e-07,6.19819994546309e-06,7.95287140065126
"P48960;Q9UHX3",3.76322657078783,24.492214997162,21.1875382092715,2.72058061557968e-07,6.40243304866418e-06,7.85066516807821
"P08648",2.13903065606427,24.0068720814223,20.7043181514966,3.15931583627888e-07,6.97024056379028e-06,7.69929264351137
"Q969X1",-2.18948245756648,24.5312098122788,-20.0265885878926,3.9191391274146e-07,8.13797712927856e-06,7.47969490233674
"Q5QNW6;Q16778;P06899;P23527;P33778;P57053;P58876;P62807;Q93079;Q99877;Q99879;O60814;Q99880;Q96A08;Q8N257;A0A2R8Y619;Q6DRA6;Q6DN03",3.72166208428576,27.6302867099676,19.6576942413895,4.42016898318685e-07,8.66844250591642e-06,7.35642141068437
"Q99816",-2.86047737813583,23.9535711369471,-18.9509772629553,5.60075857730757e-07,9.99454636505609e-06,7.1124829945232
"P11047",2.1503320550259,23.9982720237531,18.9187821757511,5.66263250144821e-07,9.99454636505609e-06,7.10111840366332
"Q9H5V8",2.8390361850687,24.2070114002845,17.9851117209002,7.85099256262906e-07,1.31971446409908e-05,6.76147626186152
"P05026",2.06850491126392,26.6592989717562,17.657192118784,8.84010897129034e-07,1.38614969086876e-05,6.63737313527318
"P29966",2.42455740991793,27.5204878816508,17.5985952465867,9.03157022379081e-07,1.38614969086876e-05,6.61492151570136
"P61769",2.26227011810693,26.207124214271,17.4634867310594,9.49147732703976e-07,1.39603812351877e-05,6.56283044891131
"P80723",2.0592256880703,26.6665692282887,17.1756107473587,1.05641643429495e-06,1.49166000522447e-05,6.45030890016639
"O00468",2.97574090601907,24.7918623832282,16.8928467334583,1.17556371284968e-06,1.59605381013822e-05,6.33770695014011
"Q96FQ6",-3.77891742672005,26.8403688452499,-16.3388746468143,1.45671326975349e-06,1.90451771934437e-05,6.11089477249211
"Q08380",2.54224420958469,27.7808357349938,16.13302955232,1.58034335507892e-06,1.99236144408164e-05,6.02444158695348
"P62987;P62979;P0CG47;P0CG48",-2.12600550544825,29.0323436089313,-16.0129210660133,1.65803553069582e-06,2.01822945632973e-05,5.97343535816019
"Q5JWF2;P63092;P38405",3.56773556671077,24.5406387640652,15.8822094725013,1.74761864698626e-06,2.05636460795383e-05,5.91744805764202
"P06756",2.30490813666285,24.1533621636693,15.6360131225012,1.93188929677193e-06,2.12981481389575e-05,5.81061679901761
"Q00610;P53675",1.73144016348886,26.5569430942746,15.6103699384209,1.95233501772276e-06,2.12981481389575e-05,5.79938439779942
"P62805",4.15574860143037,26.1081554976604,15.5299795953528,2.01806096378235e-06,2.12981481389575e-05,5.76404102043957
"O15230",2.9515834515405,24.5219849378627,15.49036758772,2.051379707435e-06,2.12981481389575e-05,5.7465526817681
"P16144",1.98351511288602,25.32568533429,15.2208832557653,2.29558313800725e-06,2.27031897382373e-05,5.62627899217305
"Q8NFJ5",-4.54309176581573,27.6954737750443,-15.2005352693996,2.31533946338964e-06,2.27031897382373e-05,5.61710435566084
"Q9P2B2",-2.29643131073722,25.0561967056404,-14.9522745196538,2.57280605150905e-06,2.45459604373701e-05,5.50409206726958
"O43633",-3.37608947437985,23.1742952259858,-14.6622248977255,2.91629211849039e-06,2.64269385343133e-05,5.36948500672982
"P04439;P01893",2.23075094092315,25.53841710893,14.6595548201024,2.91969009302612e-06,2.64269385343133e-05,5.3682327213101
"P21333",3.50923516439357,24.9801746418855,14.5609381807942,3.0484345277337e-06,2.67659987308114e-05,5.32181017632175
"Q9NX76",2.89042895342288,23.3570294767766,14.455720294565,3.19304049214016e-06,2.67659987308114e-05,5.27191076885368
"P23229",1.56154925940134,25.4602644428324,14.4107750544899,3.25720039169917e-06,2.67659987308114e-05,5.2504781578593
"P98160",2.11658801495104,25.1634642005983,14.4085275154952,3.26044743746428e-06,2.67659987308114e-05,5.24940453883413
"P31949",-1.62694157834119,28.359351717905,-14.206079012148,3.5687764945822e-06,2.86313205133526e-05,5.15196500890459
"O75351;Q6PIW4",-3.86613798365597,22.359785665591,-13.6726431801005,4.55515344547738e-06,3.5732648138967e-05,4.88806719525268
