"UNIPROT","Symbol","DriverScore","ExprScore","NetScore"
"O00468","AGRN",0.180132674488595,-0.71443729398076,0.964370335955659
"O15230","LAMA5",-1.22408062291008,-1.08621749349902,-0.148620138292287
"O43633","CHMP2A",0.0110576284740113,-0.363218383796271,0.403479544826237
"O75351","VPS4B",1.3460646305042,0.356672116528439,1.0665915744158
"P01033","TIMP1",1.09006347104008,0.836159533700184,0.273715230762661
"P01889","HLA-B",1.27940570912966,0.402843337973365,0.944957664747541
"P01903","HLA-DRA",-1.64910569432864,-1.04066493403811,-0.655915401915929
"P02751","FN1",-1.60268511270625,0.465065499537116,-2.22909042655837
"P03956","MMP1",-0.0464155856012763,-0.552249884672019,0.545302894269313
"P04439","HLA-A",-1.84864038086334,-1.81056618033519,-0.0410450058114512
"P05106","ITGB3",0.946081687623276,1.19632593524873,-0.269769987434804
"P05121","SERPINE1",0.460920365014129,-0.431010990626699,0.961525840802018
"P05362","ICAM1",-2.30128795406701,-1.36165029531819,-1.01295451064008
"P05556","ITGB1",-0.925040522347614,0.963507709085011,-2.03590547034727
"P06748","NPM1",0.997532859524346,1.2136490875615,-0.232979070149507
"P06756","ITGAV",-1.52831910232325,-0.423211035120062,-1.19133603362469
"P07996","THBS1",0.771215990231163,1.19732416428156,-0.459356000588239
"P08134","RHOC",1.08205785269466,-0.349602510698801,1.54336813696362
"P08238","HSP90AB1",-2.67840447582805,-0.439205218019674,-2.41391664893376
"P08648","ITGA5",-2.36502338921567,-0.834587432831167,-1.64985086626872
"P08670","VIM",-2.78368082064274,-1.62842029333695,-1.24540172608351
"P11021","HSPA5",2.34657727647604,2.16275999620955,0.198159941170796
"P11047","LAMC1",-0.122541563981114,0.196966348110151,-0.344438068998848
"P11233","RALA",-1.02317163371682,-2.35012449257699,1.43049064846866
"P12814","ACTN1",-1.71131296211786,-0.68894920411223,-1.10213545673097
"P14625","HSP90B1",0.587858408546655,0.0503544492243175,0.579443634482948
"P16070","CD44",-1.28791918938627,0.728401812845908,-2.17364793236261
"P16104","H2AX",1.42063737360932,0.821726299018811,0.645642146023145
"P16144","ITGB4",-0.28499431112883,0.143856290859535,-0.462312411204617
"P17301","ITGA2",-1.05553299152582,0.139510561172026,-1.28828889077148
"P18084","ITGB5",-0.42992915790538,-0.0150806692777429,-0.447217758755152
"P21333","FLNA",-2.01557563922463,0.0777541922207918,-2.25666550853611
"P23229","ITGA6",-0.128733505673669,0.321565464282523,-0.485434325143027
"P23528","CFL1",-0.116552445177761,-0.00894432656808866,-0.116004427996535
"P24821","TNC",0.302238774156835,0.0143843829239628,0.310314727482455
"P26006","ITGA3",-1.48597251688154,-0.115503827193932,-1.4774018771859
"P26038","MSN",-0.282121742777887,-0.352657711798381,0.0760396598799771
"P27824","CANX",1.68094204943199,1.87722913669928,-0.21160272640899
"P29317","EPHA2",1.37007177321092,-0.399012504517374,1.90712013523753
"P31431","SDC4",2.38067273438513,1.02676926020132,1.45954413211995
"P39060","COL18A1",-1.590345917874,-1.52680682909174,-0.0684968359714853
"P43121","MCAM",2.74635624262176,1.27206516453602,1.5893251868299
"P48509","CD151",-2.00850749679529,-0.783239032093947,-1.32087215375863
"P55072","VCP",-1.625561765745,-0.249736632667891,-1.48317626632607
"P61224","RAP1B",-0.955997812199578,-2.13711169005571,1.27327232898165
"P61769","B2M",0.865527036248045,0.135185689242883,0.787327492536772
"P62195","PSMC5",-0.418153106553286,-1.61357133796575,1.28869280444021
"P62805","H4C1",1.54516159874467,1.17306281246078,0.401132437020303
"P62805","H4C11",1.54516159874467,1.17306281246078,0.401132437020303
"P62805","H4C12",1.54516159874467,1.17306281246078,0.401132437020303
"P62805","H4C13",1.54516159874467,1.17306281246078,0.401132437020303
"P62805","H4C14",1.54516159874467,1.17306281246078,0.401132437020303
"P62805","H4C15",1.54516159874467,1.17306281246078,0.401132437020303
"P62805","H4C2",1.54516159874467,1.17306281246078,0.401132437020303
"P62805","H4C3",1.54516159874467,1.17306281246078,0.401132437020303
"P62805","H4C4",1.54516159874467,1.17306281246078,0.401132437020303
"P62805","H4C5",1.54516159874467,1.17306281246078,0.401132437020303
"P62805","H4C6",0.194722547528863,1.64863821554898,-1.56735995018794
"P62805","H4C8",1.54516159874467,1.17306281246078,0.401132437020303
"P62805","H4C9",1.54516159874467,1.17306281246078,0.401132437020303
"P62837","UBE2D2",-1.3472035354009,-2.52348144277225,1.26805902354387
"P62987","UBA52",-2.35417488198191,-0.211051431685402,-2.31034436053472
"P67809","YBX1",0.074386799638283,-1.57890962116763,1.78229773071295
"P68363","TUBA1B",0.98830787758208,-0.594509356747421,1.70631928393317
"P68371","TUBB4B",-2.34069789641354,-1.8788038166668,-0.497934163409772
"P98160","HSPG2",-0.450668369317184,-0.0358223860612967,-0.447215057897442
"Q00610","CLTC",-1.86886102622819,-1.55432953868944,-0.339073350322023
"Q15836","VAMP3",-1.37777444203556,-2.60747363464439,1.3256485968668
"Q16543","CDC37",-0.395134223465512,-1.4561114160458,1.14376177125713
"Q16777","H2AC20",-0.901414080002232,0.154876412988229,-1.13870938383382
"Q71U36","TUBA1A",5.45361482548718,3.64030198831756,1.95479970445026
"Q71UI9","H2AZ2",0.845667383126484,0.347024399551381,0.537550463956501
"Q96EY5","MVB12A",1.65763843356512,0.556226155538454,1.18735187411185
"Q99816","TSG101",-2.52331504347355,-0.58845412317739,-2.08583178678148
"Q9H444","CHMP4B",1.82481826050407e-05,-0.393082111755106,0.423772694746356
"Q9H9H4","VPS37B",1.50284957028284,0.548395471175945,1.02892702935791
"Q9NZZ3","CHMP5",-0.104384116176813,-0.478215986026534,0.403000747425893
"Q9UK41","VPS28",-0.312217456816162,-0.717442904862638,0.436843863805327
"Q9UQN3","CHMP2B",-1.65310691693004,-0.678824849618076,-1.05030210904224
