"UNIPROT","logFC","degree","betweenness","ExprScore","NetScore"
"O00468",-0.302884054995253,8,0,0.970245087871811,-1.80480630958853
"O15230",0.0643106574772077,24,0.389991258741259,0.139980930770779,-0.334361554786989
"O43633",-0.480263084114181,16,0.142857142857143,1.37131690371358,-0.923121056410197
"O75351",0.279564605577221,14,0,0.346729884258537,-1.1471903702941
"P01033",0.407186149132176,14,14.9996977695507,0.635295023375387,0.159647952286122
"P01889",0.432627754202663,8,5.11111111111111,0.692821049953804,-0.951619757182327
"P01903",-0.435858445217665,8,52.625,1.270913551398,0.0720987316462006
"P02751",-0.482813765582645,48,241.078348795154,1.3770842509207,2.96408535014354
"P03956",-0.594545038033651,10,0.769711538461539,1.62971988970408,-1.27741927456926
"P04439",-0.0360060748588289,8,5.11111111111111,0.366807146909052,-0.951619757182327
"P05106",0.421908050480042,34,10.9362024392017,0.668582722240133,1.11232311354481
"P05121",0.376727687589025,10,0.392857142857143,0.56642537999343,-1.3902873975839
"P05362",0.0021069614571303,18,20.2512123497418,0.280629740490641,0.597753807867136
"P05556",-0.271886660579124,50,256.095691135989,0.900156863087894,3.04395541245123
"P06748",0.614870058659776,10,246.906881290752,1.10488922021533,1.05208173907741
"P06756",-0.272203883705203,34,14.6086183968999,0.900874136464772,1.23876023409179
"P07996",0.854083154033876,32,31.8770005400461,1.64577407572153,1.51414027807343
"P08134",0.306601715390755,4,1.2,0.407863507448891,-2.18986290291603
"P08238",-0.0693854054246685,22,1493.38782740557,0.442281168771287,2.84837022862176
"P08648",-0.276248405137373,38,25.8264616318328,0.910019205997901,1.63333444832244
"P08670",-0.010555683073342,8,202.248680530939,0.309261252684736,0.700126493235045
"P11021",1.26650742929886,12,225,2.57830682099238,1.22353227386897
"P11047",-0.224414705652311,26,4.96300097751711,0.792818000886264,0.451124270154901
"P11233",-0.0766900559487915,2,0,0.458797717905374,-3.21911467338321
"P12814",-0.0878693820188623,24,24.3448135713615,0.484075297950106,1.03408484205045
"P14625",0.563387747973348,10,6.61111111111111,0.98848254050072,-0.589823939226175
"P16070",-0.359436293537879,36,619.866049017507,1.09811538412313,3.04640176305403
"P16104",0.34033173525977,28,0,0.484130473078602,-0.298504608862782
"P16144",-0.26953214698263,30,4.27332393698493,0.894833071159048,0.571038863560568
"P17301",-0.227981031871842,36,32.0015978281265,0.800881822973104,1.66321039707487
"P18084",0.152541975964738,30,4.98761389539253,0.0595189497713624,0.630914869315037
