"UNIPROT","Symbol","degree","betweenness","X","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"O00468","AGRN",8,0,"O00468",-0.302884054995253,23.3039919302187,-1.51716714266495,0.183815536698141,0.58753627495004,-5.44680797396087
"O15230","LAMA5",24,0.389991258741259,"O15230",0.0643106574772077,23.0461932120925,0.24282314904639,0.816842706904525,0.927101544275063,-6.52238355601779
"O43633","CHMP2A",16,0.142857142857143,"O43633",-0.480263084114181,24.8623399631757,-1.9789091697912,0.0989108860630417,0.553823224020285,-4.85278789927331
"O75351","VPS4B",14,0,"O75351;Q6PIW4",0.279564605577221,24.292854657419,1.52566282207023,0.181745750055987,0.58753627495004,-5.43633857534495
"P01033","TIMP1",14,14.9996977695507,"P01033",0.407186149132176,21.0006482006201,1.86769492749403,0.114852647655164,0.568088213522859,-4.99941103238416
"P01889","HLA-B",8,5.11111111111111,"P01889",0.432627754202663,24.3276249605139,1.71676337186049,0.140699718589595,0.584016227066852,-5.19542459235054
"P01903","HLA-DRA",8,52.625,"P01903;P01906",-0.435858445217665,21.2250718602415,-1.09167246509327,0.319972811764232,0.672550652131048,-5.93322237362944
"P02751","FN1",48,241.078348795154,"P02751",-0.482813765582645,22.1094552847147,-1.52897042190298,0.180945938602887,0.58753627495004,-5.43225631830529
"P03956","MMP1",10,0.769711538461539,"P03956",-0.594545038033651,21.2302769354248,-2.88025451446626,0.0305562162552272,0.522508492983238,-3.65627087711484
"P04439","HLA-A",8,5.11111111111111,"P04439;P01893",-0.0360060748588289,24.4230416384685,-0.14785997391604,0.887663950165575,0.952380085933391,-6.54367658476945
"P05106","ITGB3",34,10.9362024392017,"P05106",0.421908050480042,20.8231313756426,1.45001722270648,0.200978090659972,0.594017155329473,-5.52870737615872
"P05121","SERPINE1",10,0.392857142857143,"P05121",0.376727687589025,21.2258016703687,0.851511120067226,0.429598995562677,0.739895775117723,-6.16271875515559
