"Symbol","degree","betweenness"
"ACTN1",24,24.3448135713615
"AGRN",8,0
"B2M",8,5.11111111111111
"CANX",16,198.325
"CD151",14,140.592614517045
"CD44",36,619.866049017507
"CDC37",4,0
"CFL1",8,58.884126984127
"CHMP2A",16,0.142857142857143
"CHMP2B",18,38.0025793650794
"CHMP4B",16,0.142857142857143
"CHMP5",16,0.142857142857143
"CLTC",4,77
"COL18A1",16,0.675137362637363
"EPHA2",4,0
"FLNA",30,549.321980969639
"FN1",48,241.078348795154
"H2AC20",30,29.3333333333333
"H2AX",28,0
"H2AZ2",26,0
"H4C1",32,1.29255189255189
"H4C11",32,1.29255189255189
"H4C12",32,1.29255189255189
"H4C13",32,1.29255189255189
"H4C14",32,1.29255189255189
"H4C15",32,1.29255189255189
"H4C2",32,1.29255189255189
"H4C3",32,1.29255189255189
"H4C4",32,1.29255189255189
"H4C5",32,1.29255189255189
"H4C6",36,611.925317021688
"H4C8",32,1.29255189255189
"H4C9",32,1.29255189255189
"HLA-A",8,5.11111111111111
"HLA-B",8,5.11111111111111
"HLA-DRA",8,52.625
"HSP90AB1",22,1493.38782740557
"HSP90B1",10,6.61111111111111
"HSPA5",12,225
"HSPG2",18,13.4306347326509
"ICAM1",18,20.2512123497418
"ITGA2",36,32.0015978281265
"ITGA3",36,45.2096903641483
"ITGA5",38,25.8264616318328
"ITGA6",32,5.06167806651553
"ITGAV",34,14.6086183968999
"ITGB1",50,256.095691135989
"ITGB3",34,10.9362024392017
"ITGB4",30,4.27332393698493
"ITGB5",30,4.98761389539253
"LAMA5",24,0.389991258741259
"LAMC1",26,4.96300097751711
"MCAM",4,17.815873015873
"MMP1",10,0.769711538461539
"MSN",10,9.79442769133172
"MVB12A",14,0
"NPM1",10,246.906881290752
"PSMC5",4,0
"RALA",2,0
"RAP1B",2,0
"RHOC",4,1.2
"SDC4",10,1.43420174596645
"SERPINE1",10,0.392857142857143
"THBS1",32,31.8770005400461
"TIMP1",14,14.9996977695507
"TNC",18,2.40858585858586
"TSG101",22,514.285102397602
"TUBA1A",6,38
"TUBA1B",4,0
"TUBB4B",6,38
"UBA52",38,368.474134243892
"UBE2D2",2,0
"VAMP3",2,0
"VCP",16,293.825648007906
"VIM",8,202.248680530939
"VPS28",16,0.142857142857143
"VPS37B",16,0.142857142857143
"VPS4B",14,0
"YBX1",2,0
