"Protein","Detected","Missing","Missing_fraction"
"A6NDG6",3,9,0.75
"A8MQ03",4,8,0.666666666666667
"Q13765;E9PAV3",4,8,0.666666666666667
"O00154",0,12,1
"O00159",12,0,0
"O00161",12,0,0
"O00186",7,5,0.416666666666667
"O00194",11,1,0.0833333333333333
"O00231",7,5,0.416666666666667
"O00232",5,7,0.583333333333333
"O00299",12,0,0
"O00303",7,5,0.416666666666667
"O00410",10,2,0.166666666666667
"O00468",12,0,0
"O00560",12,0,0
"O00571;O15523",9,3,0.25
"O00622",10,2,0.166666666666667
"O00764",2,10,0.833333333333333
"O14493;O95484;P56747;O15551",12,0,0
"O14579",2,10,0.833333333333333
"O14672",12,0,0
"O14737",3,9,0.75
"O14745",12,0,0
"O14763",0,12,1
"O14786",7,5,0.416666666666667
"O14817",4,8,0.666666666666667
"O14818;Q8TAA3",9,3,0.25
"O14907",11,1,0.0833333333333333
"O14908",9,3,0.25
"P19105;O14950;P24844",12,0,0
"O15031",12,0,0
"O15144",12,0,0
"O15162",0,12,1
"O15230",12,0,0
"O15231",0,12,1
"O15372",5,7,0.583333333333333
"O15427",12,0,0
"O15511",10,2,0.166666666666667
"O43242",0,12,1
"O43399",12,0,0
"O43491",6,6,0.5
"O43493",0,12,1
"O43583",3,9,0.75
"O43598",11,1,0.0833333333333333
"O43633",9,3,0.25
"O43653",6,6,0.5
"O43657",11,1,0.0833333333333333
"O43707;Q9H254",12,0,0
"O43765",0,12,1
"O43776",0,12,1
"O43795",9,3,0.25
"O43854",9,3,0.25
"O60437",6,6,0.5
"O60488;O95573",6,6,0.5
"O60610",10,2,0.166666666666667
"O60664",12,0,0
"O60716",11,1,0.0833333333333333
"Q5QNW6;Q16778;P06899;P23527;P33778;P57053;P58876;P62807;Q93079;Q99877;Q99879;O60814;Q99880;Q96A08;Q8N257;A0A2R8Y619;Q6DRA6;Q6DN03",11,1,0.0833333333333333
"O60884",2,10,0.833333333333333
"O60888",6,6,0.5
"O75083",12,0,0
"O75131;Q8IYJ1;Q96A23;O95741;Q9UBL6",12,0,0
"O75348;O95670",6,6,0.5
"O75351;Q6PIW4",12,0,0
"O75367",3,9,0.75
"O75368",5,7,0.583333333333333
"O75369",12,0,0
"O75436",12,0,0
"O75695",6,6,0.5
"O75821",0,12,1
"O75874",9,3,0.25
"O75915",0,12,1
"O75935",0,12,1
"O75955",4,8,0.666666666666667
"O76094",0,12,1
"O94760",0,12,1
"O94832;B0I1T2",6,6,0.5
"O94907",0,12,1
"O94973",0,12,1
"O95164",0,12,1
"O95274",6,6,0.5
"O95336",12,0,0
"O95373",0,12,1
"O95394",2,10,0.833333333333333
"O95466",6,6,0.5
"O95716",0,12,1
"O95747",11,1,0.0833333333333333
"O95816",0,12,1
"O95832",5,7,0.583333333333333
"O95861",10,2,0.166666666666667
"O95865",11,1,0.0833333333333333
"P00338;Q6ZMR3;P07864",12,0,0
"P00390",0,12,1
"P00491",8,4,0.333333333333333
"P00492",3,9,0.75
"P00533",10,2,0.166666666666667
"P00558;P07205",12,0,0
"P00749",10,2,0.166666666666667
"P00750",6,6,0.5
"P00918",5,7,0.583333333333333
"P00966",6,6,0.5
"P01008",0,12,1
"P01024",11,1,0.0833333333333333
"P01033",5,7,0.583333333333333
"P01111;P01116;P01112",9,3,0.25
"P01889",12,0,0
